GeneSym	HP1504101T2D_wholeislet	HP1506401_wholeislet	HP1504901_wholeislet	HP1508501T2D_wholeislet	HP1507101_wholeislet	HP1526901T2D_wholeislet	HP1525301T2D_wholeislet
ST3GAL4	844	667	881	721	1723	580	713
LOC101929427	3	0	5	10	8	8	4
MIR3167	0	0	0	0	0	0	0
KIRREL3-AS3	3	4	1	0	7	2	0
KIRREL3-AS2	0	0	0	0	0	0	0
LOC101929473	0	0	0	0	0	0	0
LOC101929497	0	0	0	0	0	0	0
LOC101929517	0	0	0	0	0	0	0
MIR6090	0	0	0	0	0	0	0
SENCR	2	0	2	0	0	0	0
KCNJ5	75	226	25	111	55	25	62
C11orf45	78	95	23	77	45	56	69
TP53AIP1	2	0	5	13	0	4	0
BARX2	71	201	98	408	78	180	307
LINC01395	0	0	0	0	0	0	3
TMEM45B	924	790	674	5079	2179	1340	4148
PRDM10	965	687	1118	892	1169	695	571
LINC00167	10	61	15	14	20	6	8
APLP2	27957	34534	24615	49800	37818	31526	32993
ST14	6358	10726	6411	18946	9446	10541	11098
ADAMTS15	10	15	10	23	13	8	18
MIR8052	0	0	0	0	0	0	0
SNX19	6564	7297	7533	7389	6446	6256	5365
LOC101929653	0	0	0	0	0	0	0
NTM-IT	0	0	0	0	0	0	0
LOC646522	0	0	0	0	0	0	0
MIR4697HG	503	458	687	382	739	365	215
MIR4697	0	0	0	0	0	0	0
SPATA19	0	0	0	0	0	0	0
LOC100128239	39	25	51	43	19	20	14
ACAD8	1096	1166	1029	1520	1198	1021	1050
THYN1	1640	1760	2069	2559	2484	1638	1713
VPS26B	5587	5227	6145	6505	8187	4407	4806
GLB1L3	115	52	84	149	79	20	143
B3GAT1	249	239	480	276	462	479	256
PDZRN4	131	92	57	133	78	40	52
SYT10	4	0	16	0	2	2	2
LOC101927905	27	54	30	43	24	22	29
FAM86FP	52	60	25	32	51	53	33
KCNC2	250	125	204	180	215	155	208
TMEM132B	2223	4037	4916	2077	3365	3361	803
CORO1C	2879	3133	2661	6143	3804	3072	3427
SCYL2	2427	2299	2966	2786	2812	2100	2223
FBXW8	1535	1589	1578	1886	1697	832	935
RAD52	392	380	383	509	393	425	354
DCP1B	1074	793	1138	1174	1310	846	647
TEAD4	68	158	99	368	54	133	85
LOH12CR1	274	330	243	333	367	231	184
LOC642846	2	36	40	126	18	70	42
PTPRO	40	22	37	54	77	23	42
PLBD1	387	924	382	1101	452	595	679
ABCC9	3406	1839	2748	3060	2658	1785	1702
SLCO1B3	0	0	2	0	0	2	5
SOX5	668	576	709	604	740	387	413
PLCZ1	3	3	2	1	1	1	1
RASSF8	1193	1473	1624	1678	1433	1302	1171
FAM60A	3257	3362	3483	3522	3893	2672	2411
BICD1	434	378	567	438	589	363	402
FAR2	136	152	314	145	202	138	122
MUC19	6	2	0	3	0	1	12
SLC38A4	11310	6558	8963	12450	17176	6325	9198
NELL2	290	140	263	323	858	345	225
ARID2	1747	1950	2006	2325	2105	1553	1363
R3HDM2	3269	2347	3954	3515	3976	2757	2391
SLC11A2	4797	4505	5639	5958	5461	3476	3309
NABP2	979	1397	1089	1407	1413	797	988
NR4A1	722	631	726	1336	756	560	643
LOC400043	22	49	37	114	23	55	56
MON2	3737	3984	4177	4192	4510	2885	2820
RASSF3	447	1112	344	1229	444	551	732
DPY19L2	74	205	295	199	124	238	553
MDM2	3239	4464	4116	4836	3829	3566	3343
PTPRR	80	55	29	55	19	61	18
TPH2	99	10	12	33	28	16	44
SYT1	2436	440	396	1084	298	455	652
PPFIA2	40	66	111	47	98	99	32
METTL25	215	311	277	215	278	218	238
OTOGL	1260	1039	1515	608	1333	1268	894
MGAT4C	108	275	155	171	138	188	46
ANKS1B	625	341	486	362	665	379	199
NR2C1	949	1102	1097	1045	917	1153	868
CHST11	362	941	608	755	1323	612	744
LOC100287944	0	4	1	2	0	1	1
C12orf42	0	0	2	2	0	0	0
BTBD11	782	252	1071	1130	1957	431	838
UTP20	1041	1364	1410	1747	1269	1079	837
RBM19	832	921	1077	1680	1037	933	770
RPH3A	761	3461	969	1168	1162	1611	735
C12orf65	1031	949	1130	1250	1395	978	647
ZNF664-FAM101A	7	2	3	2	4	2	5
WSB2	9756	10761	13276	13711	14301	8411	7716
GCN1L1	6042	7242	5906	8351	7022	5274	4431
LRRC43	25	22	59	64	69	85	62
FAM101A	0	0	0	0	0	4	0
SRRM4	12	10	43	8	16	11	2
TMEM132C	618	571	149	834	351	483	365
TMEM132D	2258	1677	2160	4387	2828	2976	1627
CCDC77	352	399	340	384	405	288	262
KDM5A	3242	2987	4012	3974	3852	2553	2199
IQSEC3	1928	1207	2332	1985	4261	1545	2011
WNK1	10650	9347	13503	11915	13000	7792	7157
B4GALNT3	1760	1729	2237	2717	2752	1775	1764
ERC1	3844	3569	4219	4569	4905	2769	2898
ADIPOR2	4624	5093	4774	6053	5376	3736	3131
CACNA2D4	22	45	20	44	21	27	32
CACNA1C	2934	2644	3209	2825	3602	2354	2091
TULP3	915	932	1056	1406	1261	797	813
TSPAN9	1962	3153	2294	2916	2942	2854	2599
PARP11	570	602	877	768	828	559	481
EFCAB4B	31	43	38	74	17	30	49
PRMT8	0	3	0	0	2	4	35
C12orf5	919	825	814	1139	946	797	760
DYRK4	514	700	766	1021	946	629	628
GALNT8	23	2	11	12	15	0	27
VWF	196	8	792	218	284	281	60
ANO2	4	0	2	0	2	2	0
PLEKHG6	567	451	533	1046	773	463	541
PHB2	4211	5473	5507	6814	7410	4227	4210
CHD4	13640	13012	18271	18522	17144	12109	10777
C1R	564	738	254	3274	1252	1092	1556
CD27-AS1	566	608	649	721	899	696	589
LEPREL2	5687	4340	4725	7077	9091	4151	5829
SLC2A14	25	78	0	17	7	26	5
DPPA3	0	0	0	0	0	0	0
ACSM4	0	0	0	0	0	0	1
PZP	0	0	2	0	13	0	0
RIMKLB	742	837	1135	908	612	853	811
LINC00937	0	0	1	0	0	3	5
CLEC2D	214	260	354	299	415	261	181
CLEC1A	10	0	24	4	8	18	2
LOC100506159	0	0	0	0	4	0	0
PRH1	2	6	3	3	3	7	2
KLRAP1	31	51	41	80	75	81	65
PRH1-PRR4	4	12	21	11	14	2	3
LRP6	3360	3449	4238	3310	3544	2266	2270
ETV6	859	1322	880	2023	1016	1218	1252
RNU6-19P	0	0	0	0	0	0	0
DDX47	1837	2328	2349	2981	2296	1888	1615
GSG1	2	22	6	7	4	7	16
EMP1	470	225	1067	1485	977	1055	707
GPR19	310	175	154	404	360	206	261
DUSP16	2840	3875	3697	5585	3278	2851	3117
ATF7IP	3856	3825	3954	3661	4203	2836	2681
GRIN2B	0	0	0	0	2	0	0
RERG	246	448	334	316	297	429	546
WBP11	3668	4177	5400	5765	5363	3246	3258
ERP27	655	5553	1045	825	626	744	814
GUCY2C	98	78	39	65	16	51	24
DERA	964	1498	1334	2417	1572	1368	1401
MGST1	577	1775	646	4521	381	1094	986
EPS8	792	1744	779	2153	926	1378	1959
SLC15A5	0	0	0	0	0	2	0
PIK3C2G	235	243	46	96	149	128	82
AEBP2	1794	2125	2388	2138	2259	1701	1502
PLEKHA5	1619	1809	1603	2163	1956	1440	1374
PDE3A	2821	2486	2137	3097	1661	2163	1796
LOC100506393	0	0	0	0	0	0	0
RECQL	1632	1688	1419	1912	1599	1170	1279
SLCO1A2	337	1085	320	1027	271	357	322
SLCO1B1	1	1	0	1	0	6	0
SLCO1B7	0	0	0	0	0	0	0
C2CD5	6163	6137	6542	6064	7222	4812	4284
ETNK1	7535	6574	5526	7389	7688	5889	5468
ST8SIA1	288	109	125	297	494	69	385
LOC101928441	0	2	0	0	0	0	0
BCAT1	1454	6499	1105	4413	1106	1989	1151
LOC101928471	0	0	0	0	1	0	0
CASC1	70	93	152	67	195	103	80
LMNTD1	85	267	156	163	112	140	150
ITPR2	1686	2698	1453	2140	1679	1627	1473
TM7SF3	5137	8293	4697	7743	5821	5386	7125
PPFIBP1	939	1019	1022	1801	1104	1176	1201
ARNTL2	459	655	279	1510	661	499	891
MANSC4	11	8	16	5	6	10	10
CCDC91	1936	2325	2868	2607	3111	1834	1818
OVCH1	0	0	0	0	0	0	0
TMTC1	39	81	70	72	100	103	80
OVCH1-AS1	1	0	1	3	3	0	2
DDX11-AS1	11	20	5	4	2	4	7
IPO8	3533	4135	4017	5020	4193	3103	2754
KIAA1551	1167	1174	1497	1461	1386	1054	941
DENND5B	2950	2976	3741	2728	3770	2005	1678
AMN1	1554	1741	1713	1448	2409	1348	1157
FGD4	4551	3796	5170	3588	3717	2785	2698
PKP2	1750	2539	3032	1983	2797	1911	1203
KIF21A	6284	5883	7660	6545	8171	4570	4178
CPNE8	1544	823	1369	1908	1545	850	1584
ABCD2	18	20	18	8	14	14	7
SLC2A13	7024	9064	7208	7868	7911	5342	3645
LRRK2	228	269	276	275	204	304	328
C12orf40	0	0	0	0	0	0	0
CNTN1	25136	19184	27152	21686	32643	15312	16185
PPHLN1	1760	2291	2278	2703	2555	1890	1800
PRICKLE1	250	224	258	376	213	435	494
YAF2	737	884	1170	921	1010	771	694
ADAMTS20	0	0	0	0	0	0	0
IRAK4	1498	1630	1517	2618	1868	1502	1356
TMEM117	364	357	398	501	562	398	291
ANO6	1490	2465	1436	4230	1770	2498	2940
SLC38A1	2722	5308	3528	6735	1814	3773	3921
PCED1B	31	81	36	158	34	80	41
LINC00935	2	2	0	0	1	0	0
SENP1	988	1172	1418	1336	1421	874	740
C12orf54	6	2	11	8	6	2	6
KMT2D	4961	3725	5689	5060	4868	3564	3221
SPATS2	1822	2041	1725	2050	2554	1569	1579
FMNL3	265	160	502	556	393	453	301
NCKAP5L	735	678	891	898	797	739	548
KCNH3	148	67	165	168	86	234	95
LIMA1	3811	6352	4708	7867	5685	3927	5818
DIP2B	6870	5990	9196	7172	7671	4306	4542
ASIC1	94	93	131	86	96	129	113
FAM186A	2	4	6	5	0	6	0
LARP4	3516	3601	4466	3931	3992	2576	2416
TMPRSS12	10	21	7	5	14	2	8
TFCP2	1668	1840	2234	2377	2220	1578	1471
SCN8A	905	717	984	905	759	741	509
SLC4A8	3606	2295	4667	2176	4045	1935	1326
GALNT6	123	398	155	339	125	199	183
SMAGP	122	237	157	410	94	211	260
KRT18	4845	10095	4373	21351	4806	8338	11953
KRT75	0	4	0	10	0	4	2
KRT77	0	0	0	0	0	0	0
KRT79	0	0	4	12	2	2	1
ATF7	1618	1885	2122	2448	2209	1492	1485
RARG	298	257	350	710	337	408	467
PCBP2	15415	15257	20787	20698	24758	15053	13140
HOXC9	8	0	4	0	0	8	0
NCKAP1L	58	38	86	77	187	60	68
CBX5	9264	8647	11577	10318	11630	6927	6875
LOC102724050	0	0	0	2	1	0	0
ERBB3	1888	3503	2267	4360	1760	3402	4524
CDK2	365	542	269	910	336	425	408
MMP19	4	8	23	44	21	71	39
ITGA7	595	330	857	540	538	417	490
TMEM198B	172	252	262	263	248	232	283
TAC3	0	0	2	0	42	0	0
BAZ2A	7268	6051	8328	8466	8131	5541	4504
LRP1	4804	2679	3385	5180	4795	4894	3641
AVIL	84	119	103	175	134	169	118
TSFM	1078	991	1013	1672	1160	993	939
DCTN2	7599	8269	8107	11672	10368	7306	6316
LOC100506844	368	477	377	515	737	370	409
LOC101927653	27	2	11	32	12	23	36
SLC16A7	916	2307	622	1877	709	960	1692
USP15	2491	2751	2928	3106	2774	2115	2091
FAM19A2	49	45	62	77	87	60	71
PPM1H	3820	5123	3910	4328	4630	3249	2567
C12orf56	2	1	0	4	0	2	0
SRGAP1	373	525	294	694	411	458	453
TBK1	2538	2445	2791	2717	2747	2117	1772
MSRB3	78	70	116	279	153	284	166
GNS	23555	24999	24959	35625	26206	18173	17362
TBC1D30	1064	902	1026	2258	1684	943	1460
LOC100507065	0	0	0	0	0	0	0
HMGA2	10	7	8	42	2	22	18
GRIP1	205	214	317	270	257	188	161
IRAK3	83	37	175	83	75	86	86
HELB	50	26	46	49	42	30	18
RPSAP52	0	3	0	9	6	2	0
IFNG	0	0	0	0	0	0	0
LOC100507250	57	127	90	71	134	95	58
CPM	189	971	193	1827	418	705	1054
CCT2	6312	8302	7439	9862	8715	6124	6273
LOC101928002	1	0	0	3	2	2	4
CNOT2	2483	2772	3180	3454	3175	2359	2026
KCNMB4	55	34	38	27	49	25	41
LGR5	34	76	36	71	58	29	30
TMEM19	1712	1812	1750	2160	2191	1616	1606
TRHDE	29	227	24	99	24	28	36
LOC100507377	0	0	0	0	0	0	0
CAPS2	262	198	276	179	223	233	185
GLIPR1L1	4	8	3	10	4	5	11
GLIPR1	112	135	166	511	167	260	289
OSBPL8	6008	5431	7705	4931	7381	4085	3491
ZDHHC17	3279	3124	4139	3226	3869	2407	2228
NAV3	374	463	413	634	533	520	434
PPP1R12A	3280	3037	4238	3690	3830	2758	2452
LIN7A	50	16	35	14	19	23	28
ACSS3	91	215	104	243	127	163	250
PTPRQ	2	4	4	7	0	9	2
TMTC2	604	1017	588	1081	584	748	737
LRRIQ1	46	34	42	78	45	52	54
CEP290	875	1254	1207	1208	1415	902	870
POC1B	544	819	580	838	715	625	656
POC1B-GALNT4	0	0	0	0	0	0	0
ATP2B1	6725	6369	8479	7304	8601	4895	5430
GALNT4	10	22	6	32	14	22	27
EEA1	2548	2256	3040	2938	3057	1873	1896
BTG1	9611	10745	9112	13187	11280	8666	8436
C12orf79	128	146	88	79	154	75	92
CRADD	720	952	1000	1149	1236	769	741
LOC643339	7	6	1	0	7	2	2
LOC101928731	0	6	2	7	6	3	13
PLXNC1	1652	1824	4088	2820	4277	1952	1622
TMCC3	4397	3988	6620	3149	5208	3234	2387
CEP83	311	393	516	507	552	340	270
FGD6	627	776	524	1312	685	626	857
USP44	96	171	183	267	183	140	119
VEZT	2940	3071	3824	4183	3672	2857	2905
NTN4	1144	2237	1411	2963	1027	2755	3547
AMDHD1	27	47	21	89	44	39	41
ELK3	130	175	213	431	123	288	249
CDK17	977	958	1380	1024	1068	899	910
RMST	14	28	30	20	19	18	13
APAF1	1381	1055	1358	1680	1381	1306	1052
UHRF1BP1L	2509	1943	2657	2224	3155	1836	1495
NR1H4	110	283	48	316	157	274	674
SLC17A8	0	3	0	2	0	8	0
ANO4	11	19	3	6	6	12	10
SLC5A8	149	70	125	51	59	55	15
CHPT1	722	1441	1172	1749	1020	1145	892
NUP37	562	641	623	1097	819	570	549
PAH	327	314	356	686	190	821	661
TXNRD1	17729	8682	12298	15563	11845	13817	6249
HSP90B1	35281	53637	36651	50995	52794	36265	45402
STAB2	6	5	0	4	2	4	5
HCFC2	2925	2352	4255	3208	4395	2347	2059
NT5DC3	1327	975	1904	1442	1530	706	1589
SLC41A2	1353	1822	1173	2186	1366	1235	1506
C12orf45	139	201	174	275	240	176	153
KIAA1033	4771	5777	6784	5884	6443	4398	4328
POLR3B	809	1008	1095	1154	957	756	661
RIC8B	1290	1192	1281	1706	1550	1231	1095
RFX4	5	10	0	8	0	4	8
CRY1	1922	2081	2227	2197	2819	1523	1551
SART3	2793	3096	3560	3917	3614	2397	2325
WSCD2	9880	9455	12293	4187	11571	8597	4255
PRDM4	3578	2842	4036	4368	4056	2809	2414
LOC101929162	10	4	9	9	6	3	2
UBE3B	2220	2210	2555	3357	3047	1911	1800
MYO1H	1	0	0	3	0	1	2
SSH1	3286	2883	4180	3925	3651	2748	2103
SVOP	2560	2536	3521	2517	5013	2428	2037
TRPV4	72	118	45	242	106	103	201
IFT81	945	1264	1230	1165	1357	948	1046
ARPC3	4714	5872	5738	8829	7107	5384	6158
ATP2A2	19756	19611	21221	21013	20792	14665	14254
C12orf76	653	554	1037	701	1215	628	616
PPTC7	1717	1488	1831	1547	1722	1065	1114
CUX2	2	2	2	0	2	0	8
ATXN2	3051	2397	4055	3304	3849	2160	1878
FAM109A	573	799	536	1221	697	606	619
ERP29	23726	21295	23556	33195	33041	18284	19410
TRAFD1	2032	2199	2262	3303	2742	1945	1725
MAPKAPK5	1048	1434	1436	1746	1689	1044	1095
HECTD4	7637	6078	8582	6915	8662	5839	4637
DTX1	270	192	120	253	123	255	280
IQCD	51	68	64	115	92	48	75
LHX5	0	4	0	0	0	0	2
SLC8B1	377	614	337	958	406	485	465
OAS3	545	458	709	1195	994	698	632
TBX5	0	0	0	0	0	0	0
HRK	19	8	29	9	13	22	4
RNFT2	174	229	184	170	271	201	95
MED13L	3839	3480	4666	4022	4092	2910	2566
NOS1	3	45	0	7	8	0	2
KSR2	1335	1611	1386	1066	1697	955	926
LOC101928244	0	1	0	0	0	0	0
TAOK3	2663	3105	2811	2776	3223	2137	1917
CCDC64	2442	2057	2281	2558	2654	2040	2050
CCDC60	1	1	2	0	2	0	7
CIT	45	800	168	241	311	181	362
TMEM233	8	0	11	31	0	8	0
SPPL3	2501	2856	3245	3077	3298	2313	2181
RNF10	5806	6384	6623	8839	7029	5340	4874
ANAPC5	4723	6309	5645	6358	6505	4379	4663
KDM2B	752	960	1062	1359	921	909	657
MLXIP	5610	6028	6350	9549	6563	6215	5180
HPD	10	81	14	38	6	10	34
WDR66	49	84	121	193	84	164	118
TMEM120B	472	674	548	681	609	568	483
KNTC1	313	544	454	563	423	311	430
PITPNM2	1018	489	1299	1145	1481	610	877
HIP1R	4709	3892	4581	8270	6309	4848	4476
CLIP1	6416	7444	7231	7007	6560	4395	4034
RILPL1	296	127	265	342	421	269	219
GTF2H3	1218	1479	1809	1690	1751	1276	1049
DNAH10	167	57	112	81	78	49	59
SCARB1	1476	860	2274	1976	2118	1167	1422
NCOR2	8682	11366	11871	10711	11923	8803	6290
DHX37	822	957	943	1315	918	929	649
AACS	6234	10269	11859	7836	12256	7377	4210
LOC101927592	20	6	50	9	19	4	8
LOC100996671	0	0	0	0	0	0	0
LOC100996679	0	0	0	0	0	0	0
GLT1D1	651	98	703	679	953	253	879
RIMBP2	4475	4131	6098	4192	7322	3956	4738
GPR133	77	198	58	70	52	32	82
SFSWAP	1412	1671	1969	1865	1917	1532	1184
EP400	2919	2827	3546	3536	3298	2327	2148
GALNT9	2	0	0	4	14	7	0
ULK1	2389	1847	2289	2629	2911	2316	1818
LOC101928416	0	0	0	0	0	0	0
CHFR	981	920	1191	1619	1249	1107	1031
FAM138D	0	0	0	0	0	0	0
LOC100288778	108	130	326	214	221	258	93
LOC574538	37	20	44	14	39	12	42
SLC6A13	4	4	8	3	6	0	2
SLC6A12	8	73	10	13	8	13	1
LOC102723544	0	0	0	0	0	0	0
LOC101929384	0	0	0	0	2	0	0
NINJ2	12	3	5	17	16	7	17
LINC00942	2	6	6	6	8	23	2
FBXL14	961	794	1130	1153	1425	743	572
WNT5B	47	66	188	77	85	86	80
MIR3649	0	0	0	0	0	0	0
LRTM2	0	2	2	0	2	0	0
LINC00940	0	0	0	3	0	2	0
CACNA1C-IT2	4	6	5	1	4	1	0
CACNA1C-AS4	0	0	0	0	0	0	0
CACNA1C-IT3	0	0	0	0	0	0	0
CACNA1C-AS1	12	17	27	19	25	13	5
LOC283440	0	0	1	3	2	1	0
CACNA1C-AS2	1	9	11	4	1	4	2
FOXM1	34	159	71	133	128	67	165
RHNO1	852	997	1295	1293	1616	933	991
LOC100507424	16	17	9	10	20	15	7
ITFG2	982	1082	1062	1327	1296	876	781
FKBP4	7367	7760	6723	9935	9517	5712	5315
NRIP2	52	83	92	64	78	58	85
CCND2	3462	2968	4988	3564	5266	1445	1705
FGF23	0	0	0	0	0	0	0
FGF6	0	0	0	0	0	0	0
RAD51AP1	54	96	97	122	104	72	123
C12orf4	746	853	1034	1061	1192	772	646
AKAP3	212	622	325	428	215	236	186
NDUFA9	2678	3729	3515	5054	4154	2646	2804
LOC101929549	0	0	0	0	0	0	0
KCNA6	3326	2462	2353	2593	3175	1807	1828
KCNA1	30	42	30	32	49	41	36
KCNA5	1499	599	1535	1577	2331	862	1803
LOC101929584	0	0	0	0	0	0	0
NTF3	0	0	2	0	2	0	4
CD9	2486	3429	2260	7510	1624	2432	3608
SCNN1A	440	2022	565	2301	969	1386	2241
LTBR	3493	4369	3531	6744	4290	3551	2811
TNFRSF1A	3324	2940	3673	6905	4869	3578	3137
GAPDH	59156	51726	60188	109493	69714	45418	50946
NOP2	1005	1358	1279	1732	1241	1069	832
IFFO1	702	623	886	999	896	858	669
VAMP1	173	105	87	214	137	142	154
TAPBPL	799	599	845	1402	790	618	1273
MRPL51	1974	2622	2316	3485	2743	2216	2119
NCAPD2	1368	1577	1466	2457	2053	1377	1148
SCARNA10	0	2	4	0	4	0	1
CD27	7	9	3	11	22	11	18
ING4	1031	1090	1090	1332	1640	1027	1002
PIANP	469	338	388	622	437	114	171
ZNF384	1526	1785	1963	2481	2065	1517	1210
LPAR5	0	2	18	8	4	14	10
ACRBP	157	182	431	369	404	226	160
SCARNA11	0	0	1	0	0	0	0
MLF2	6934	7674	7253	9109	9087	5682	6136
CD4	54	63	116	90	113	81	88
COPS7A	3579	3788	4224	5644	5300	3384	2730
GPR162	101	61	163	81	287	89	52
PTMS	4759	3052	4169	5393	5967	3509	3387
LAG3	3	3	2	2	5	0	0
LRRC23	360	478	543	852	634	390	493
SPSB2	721	472	743	634	1008	486	371
TPI1	9613	10309	13021	23959	15807	9994	10117
PTPN6	1137	1383	945	1973	1395	1214	1121
C12orf57	2506	3120	2492	3299	3924	2018	2301
CDCA3	35	98	41	83	86	37	59
ENO2	10389	9146	17020	12885	15708	8277	5343
ATN1	5156	5169	7950	7252	8558	5572	4433
RPL13P5	193	139	226	190	216	141	106
GNB3	96	87	83	93	89	135	103
MIR200C	0	0	0	0	0	0	0
SCARNA12	11	21	20	25	12	11	13
DSTNP2	646	426	603	769	739	432	401
USP5	3420	3779	4395	5152	5489	3530	2912
MIR141	1	6	6	5	2	8	6
EMG1	912	1032	938	1642	1335	875	815
C1S	936	772	562	4224	2489	2482	3424
LPCAT3	2633	3638	3330	4534	4118	2735	2508
C1RL-AS1	51	77	65	183	81	72	102
RBP5	16	37	83	57	34	40	57
C1RL	1217	1879	932	1783	1406	1402	1551
CLSTN3	6106	5561	4480	7428	7858	4361	4871
PEX5	2546	3180	3822	4522	3856	2532	2470
CD163L1	73	7	152	20	244	59	115
CD163	129	35	197	91	375	101	74
APOBEC1	0	4	0	10	0	0	2
GDF3	0	0	0	0	0	0	0
NANOG	0	1	0	0	0	2	0
NANOGNB	0	0	0	0	0	0	0
CLEC4C	0	0	0	0	0	0	0
SLC2A3	767	131	533	533	816	271	260
FOXJ2	1951	1531	2354	2459	2295	1725	1359
NECAP1	3975	4164	4827	5012	5421	3458	3223
C3AR1	60	19	67	30	174	56	54
FAM66C	106	132	134	111	123	71	98
CLEC4A	47	27	52	40	77	39	53
FAM90A1	22	75	24	57	37	58	33
POU5F1P3	4	0	4	2	1	4	6
ZNF705A	0	2	0	0	0	0	0
CLEC6A	1	4	0	0	3	0	0
AICDA	0	0	0	2	0	2	0
CLEC4E	16	6	10	36	12	21	64
CLEC4D	0	0	0	4	0	0	2
MFAP5	0	0	13	0	0	10	0
A2ML1	0	1	0	5	1	2	1
KLRG1	62	109	44	69	69	24	33
M6PR	4508	4438	5490	7363	6984	4137	4210
PHC1	246	172	330	315	366	317	145
A2M	648	1468	1508	1718	2528	1323	918
A2M-AS1	43	112	102	110	150	116	83
LINC00612	16	13	5	0	4	4	19
LINC00987	20	47	22	81	13	57	65
A2MP1	0	0	0	1	0	2	0
LOC101930452	6	1	3	6	14	4	0
LOC101928030	0	0	0	0	0	0	0
DDX12P	16	28	23	43	11	36	19
LOC374443	25	53	67	65	27	45	45
KLRB1	0	0	2	1	2	0	4
CLECL1	3	1	0	0	4	2	1
CD69	0	0	3	6	2	0	2
CLEC2A	0	0	0	0	0	0	0
KLRF2	0	0	0	0	0	0	0
CLEC2B	16	18	119	63	44	63	34
KLRF1	8	20	9	15	3	16	3
CLEC12A	0	0	4	2	0	0	0
CLEC1B	0	0	0	0	0	0	0
CLEC9A	2	0	0	0	0	0	0
CLEC12B	0	0	0	0	0	0	0
LOC102724020	0	0	0	0	0	0	0
OLR1	74	13	55	75	126	87	84
CLEC7A	25	19	66	35	67	22	30
TMEM52B	2	0	4	6	9	1	2
KLRD1	0	4	10	4	3	0	2
GABARAPL1	8560	7353	7264	10654	9173	7108	6651
KLRC1	32	1	4	4	0	2	1
KLRK1	0	0	0	1	0	0	0
KLRC3	0	1	0	2	0	4	0
KLRC4	2	0	0	0	0	0	0
KLRC2	1	0	1	5	4	1	0
KLRC4-KLRK1	0	0	0	0	0	0	0
LOC101928100	13	281	121	234	92	494	374
YBX3	859	2168	634	3497	657	1327	1490
STYK1	12	44	21	50	0	40	51
MAGOHB	489	682	604	830	666	523	718
PRR4	0	0	0	0	0	0	0
TAS2R10	8	5	12	1	3	2	2
TAS2R7	0	0	0	0	0	0	0
TAS2R8	0	0	0	0	0	0	0
TAS2R9	0	0	0	0	0	0	0
LOC101928162	0	0	0	0	0	0	0
TAS2R50	0	2	0	0	0	2	7
PRH2	2	13	4	4	2	4	7
TAS2R14	15	29	36	15	26	17	15
TAS2R13	0	0	0	0	0	0	2
TAS2R20	55	57	60	67	68	66	45
TAS2R19	6	0	11	10	2	0	0
TAS2R43	4	1	2	2	2	0	0
TAS2R46	2	0	0	2	0	0	1
TAS2R31	3	4	4	2	7	4	8
TAS2R30	0	0	0	2	0	0	5
TAS2R42	0	2	0	0	0	0	4
LOC100129361	1698	1533	2026	1987	2557	1610	1672
PRB4	0	0	0	0	0	0	0
PRB1	0	0	0	0	0	0	0
PRB3	0	1	0	2	0	0	0
PRB2	0	0	0	0	0	0	0
LINC01252	98	39	74	25	48	18	16
BCL2L14	7	59	7	75	18	37	28
MANSC1	2147	2835	2442	3473	2670	1925	2310
LOH12CR2	132	213	146	160	250	99	167
CREBL2	7905	8507	10051	8629	10771	7010	6012
APOLD1	237	457	314	293	278	198	195
CDKN1B	3911	3543	5212	3798	5226	3108	2291
MIR613	0	0	0	0	0	0	0
RPL13AP20	3	1	9	8	10	7	1
GPRC5A	342	1037	365	1106	158	584	532
GPRC5D	12	8	3	19	8	10	9
MIR614	3	5	1	8	0	1	1
KIAA1467	1336	1212	1276	1318	1347	972	568
LOC100506314	250	337	260	468	312	171	265
HEBP1	1139	1520	1297	2064	1581	1266	1331
HTR7P1	88	156	172	117	127	118	90
C12orf36	4	8	23	10	2	30	64
LOC101928290	20	23	19	33	5	13	14
H2AFJ	2570	2376	3011	3888	4778	2164	2647
HIST4H4	8	13	16	10	13	16	7
MGP	146	148	1278	350	343	271	661
C12orf60	83	172	154	219	194	102	127
ART4	7	27	11	28	3	6	8
SMCO3	16	6	32	23	22	24	36
PDE6H	0	2	0	2	2	0	0
ARHGDIB	154	272	533	572	450	398	397
LOC101928340	0	0	0	0	0	0	0
RERG-AS1	0	0	0	0	0	0	0
STRAP	7381	9628	9490	9845	10472	7498	7406
LMO3	509	876	550	797	199	308	192
SKP1P2	787	860	870	1230	1048	731	757
MIR3974	0	0	0	0	0	0	0
RERGL	13	23	2	2	16	3	6
CAPZA3	0	3	0	1	2	0	0
SLCO1C1	10	4	2	0	2	3	6
IAPP	237060	442726	128056	155122	74421	81050	37438
PYROXD1	834	1421	1454	1307	1206	777	541
GOLT1B	2788	3568	3322	3679	3804	2558	2536
SPX	33	75	27	36	8	24	10
GYS2	0	4	1	2	2	0	2
LDHB	2697	7597	3258	5894	4505	4235	2544
KCNJ8	2661	1272	2115	3116	2294	1613	1746
CMAS	3304	3747	3629	4408	4032	2654	2841
MIR920	0	0	0	0	0	0	0
LINC00477	0	0	0	0	0	0	0
C12orf77	0	0	0	0	0	0	0
LRMP	42	150	90	79	68	82	23
KRAS	3514	3499	4281	5040	3940	3209	2926
LYRM5	1057	1486	1523	1701	2147	1284	1187
MIR4302	0	0	0	0	0	0	0
RASSF8-AS1	83	242	143	212	136	170	142
